271    0.0009298324584960938    0    0    b'Hello, world!'
272    0.0009710788726806641    0    0    b'Hello, world!'
273    0.0009908676147460938    0    0    b'Hello, world!'
274    0.0009791851043701172    0    0    b'Hello, world!'
275    0.0009000301361083984    0    0    b'Hello, world!'
276    0.000904083251953125    0    0    b'Hello, world!'
277    0.0009148120880126953    0    0    b'Hello, world!'
278    0.0009160041809082031    0    0    b'Hello, world!'
279    0.0009469985961914062    0    0    b'Hello, world!'
280    0.0009191036224365234    0    0    b'Hello, world!'
281    0.0009229183197021484    0    0    b'Hello, world!'
282    0.000993967056274414    0    0    b'Hello, world!'
283    0.0009219646453857422    0    0    b'Hello, world!'
284    0.0009307861328125    0    0    b'Hello, world!'
285    0.0009319782257080078    0    0    b'Hello, world!'
286    0.0009357929229736328    0    0    b'Hello, world!'
287    0.0009419918060302734    0    0    b'Hello, world!'
288    0.0010950565338134766    0    0    b'Hello, world!'
289    0.0010230541229248047    0    0    b'Hello, world!'
290    0.0009891986846923828    0    0    b'Hello, world!'
291    0.0010020732879638672    0    0    b'Hello, world!'
292    0.000946044921875    0    0    b'Hello, world!'
293    0.0010018348693847656    0    0    b'Hello, world!'
294    0.0010991096496582031    0    0    b'Hello, world!'
295    0.0009829998016357422    0    0    b'Hello, world!'
296    0.0009739398956298828    0    0    b'Hello, world!'
297    0.0009889602661132812    0    0    b'Hello, world!'
298    0.0010159015655517578    0    0    b'Hello, world!'
299    0.0009758472442626953    0    0    b'Hello, world!'
300    0.0009779930114746094    0    0    b'Hello, world!'
301    0.0009799003601074219    0    0    b'Hello, world!'
302    0.0009779930114746094    0    0    b'Hello, world!'
303    0.000993967056274414    0    0    b'Hello, world!'
304    0.0009789466857910156    0    0    b'Hello, world!'
305    0.0009889602661132812    0    0    b'Hello, world!'
306    0.000993967056274414    0    0    b'Hello, world!'
307    0.0009911060333251953    0    0    b'Hello, world!'
308    0.0009870529174804688    0    0    b'Hello, world!'
309    0.0009968280792236328    0    0    b'Hello, world!'
310    0.0009961128234863281    0    0    b'Hello, world!'
311    0.0010030269622802734    0    0    b'Hello, world!'
312    0.0009999275207519531    0    0    b'Hello, world!'
313    0.0010080337524414062    0    0    b'Hello, world!'
314    0.0010080337524414062    0    0    b'Hello, world!'
315    0.0010101795196533203    0    0    b'Hello, world!'
316    0.0010111331939697266    0    0    b'Hello, world!'
317    0.0010149478912353516    0    0    b'Hello, world!'
